environment | time (millisecond),membrane | i_to_plus_p_K_0 (picoA_per_picoF),membrane | i_to_plus_p_K_10 (picoA_per_picoF),membrane | i_to_plus_p_K_20 (picoA_per_picoF),membrane | i_to_plus_p_K_30 (picoA_per_picoF),membrane | i_to_plus_p_K_40 (picoA_per_picoF),membrane | i_to_plus_p_K_50 (picoA_per_picoF),membrane | i_to_plus_p_K_60 (picoA_per_picoF),membrane | i_to_plus_p_K_70 (picoA_per_picoF),membrane | i_to_plus_p_K_80 (picoA_per_picoF),membrane | i_to_plus_p_K_neg10 (picoA_per_picoF),membrane | i_to_plus_p_K_neg20 (picoA_per_picoF),membrane | i_to_plus_p_K_neg30 (picoA_per_picoF)
100,0.0380948,0.212401,0.941434,2.37598,3.41936,3.92962,4.26944,4.57123,4.8652,0.00640764,0.00104891,0.000167519
101,0.0758005,0.469877,1.99588,4.54369,6.72545,8.17048,9.152,9.92267,10.6077,0.0114164,0.00175207,0.000267916
102,0.0987924,0.58339,2.13149,4.24218,6.00978,7.3476,8.29792,9.01834,9.64628,0.0150468,0.00236175,0.000360598
103,0.111326,0.611152,1.94223,3.52529,4.80174,5.88203,6.80505,7.50552,8.06809,0.0175837,0.00288566,0.000445696
104,0.116649,0.592852,1.68172,2.8961,3.84584,4.65245,5.48318,6.22099,6.78739,0.0192674,0.0033322,0.000523481
105,0.11717,0.552878,1.43832,2.42321,3.18105,3.78408,4.45168,5.18012,5.80217,0.020296,0.00370975,0.000594311
106,0.114624,0.505146,1.23548,2.08256,2.73024,3.20158,3.71302,4.34695,5.00411,0.0208299,0.00402638,0.000658591
107,0.110238,0.45707,1.07394,1.83962,2.42434,2.81317,3.2085,3.71562,4.33239,0.020997,0.00428964,0.000716752
108,0.104859,0.412264,0.947694,1.66611,2.21517,2.55242,2.8687,3.26455,3.78439,0.0208978,0.00450644,0.000769231
109,0.0990555,0.372213,0.849707,1.54153,2.07082,2.37579,2.63974,2.95321,3.36762,0.0206108,0.00468302,0.000816459
110,0.0932015,0.33727,0.773709,1.45146,1.97033,2.25509,2.48474,2.74135,3.06914,0.0201963,0.00482497,0.000858858
111,0.087531,0.307221,0.714617,1.38592,1.89988,2.17202,2.37928,2.59783,2.86293,0.0197,0.00493722,0.000896829
112,0.0821823,0.281597,0.668471,1.33793,1.85021,2.11454,2.30722,2.50069,2.72309,0.0191565,0.00502413,0.000930754
113,0.0772292,0.259849,0.632244,1.30261,1.81508,2.07466,2.25786,2.43495,2.62914,0.0185913,0.00508951,0.00096099
114,0.072702,0.241428,0.603636,1.2765,1.79025,2.04702,2.22406,2.3905,2.56638,0.0180229,0.00513668,0.000987872
115,0.0686032,0.225831,0.58091,1.25714,1.77277,2.028,2.20103,2.36053,2.52465,0.0174646,0.00516851,0.00101171
116,0.0649183,0.212613,0.562744,1.24276,1.76058,2.01511,2.18555,2.34052,2.49709,0.0169254,0.00518749,0.00103279
117,0.0616223,0.20139,0.548136,1.23208,1.7522,2.00662,2.17542,2.32743,2.47913,0.0164113,0.00519576,0.00105138
118,0.0586852,0.19184,0.53632,1.22414,1.74656,2.00127,2.16915,2.31922,2.46777,0.015926,0.00519516,0.00106771
119,0.0560749,0.183689,0.526706,1.21826,1.74283,1.99812,2.16564,2.31453,2.46103,0.0154714,0.00518727,0.00108202
120,0.0537594,0.176711,0.518841,1.21391,1.7404,1.9964,2.16403,2.31236,2.45761,0.0150481,0.00517344,0.00109449
121,0.0517078,0.170716,0.512371,1.21071,1.73877,1.99549,2.16361,2.31194,2.45658,0.014656,0.0051548,0.00110532
122,0.049891,0.165547,0.507022,1.20835,1.73756,1.99491,2.16376,2.31256,2.45719,0.0142943,0.00513234,0.00111468
123,0.0482826,0.161074,0.502576,1.20661,1.7365,1.99429,2.16397,2.31358,2.45873,0.0139615,0.00510689,0.0011227
124,0.0468583,0.157188,0.498864,1.20531,1.73541,1.99344,2.16389,2.31446,2.46049,0.0136563,0.00507913,0.00112954
125,0.0455965,0.153799,0.495749,1.20431,1.7342,1.99228,2.16335,2.31483,2.46189,0.0133768,0.00504967,0.00113532
126,0.0444776,0.150831,0.493123,1.2035,1.73286,1.99083,2.16232,2.31453,2.46253,0.0131214,0.00501899,0.00114015
127,0.0434845,0.148221,0.490901,1.20281,1.73141,1.98916,2.16089,2.31359,2.46231,0.0128883,0.00498751,0.00114412
128,0.0426018,0.145916,0.489012,1.20216,1.72987,1.98736,2.15918,2.31215,2.46132,0.0126758,0.00495558,0.00114734
129,0.0418161,0.143872,0.487399,1.20153,1.72831,1.98552,2.15731,2.31038,2.45976,0.0124821,0.00492347,0.00114989
130,0.0411155,0.142051,0.486017,1.20089,1.72676,1.98368,2.15539,2.30843,2.45785,0.0123058,0.00489142,0.00115183
131,0.0404897,0.140423,0.484827,1.20023,1.72526,1.9819,2.15348,2.30642,2.45576,0.0121452,0.00485963,0.00115325
132,0.0399294,0.13896,0.4838,1.19954,1.72381,1.98021,2.15163,2.30443,2.45362,0.0119991,0.00482825,0.00115419
133,0.0394267,0.137639,0.48291,1.19884,1.72245,1.97862,2.14988,2.30251,2.45152,0.011866,0.00479741,0.00115471
134,0.0389746,0.136443,0.482135,1.19814,1.72118,1.97714,2.14824,2.30069,2.4495,0.0117449,0.00476719,0.00115487
135,0.0385668,0.135354,0.481458,1.19743,1.72,1.97577,2.14672,2.299,2.4476,0.0116346,0.00473769,0.00115469
136,0.038198,0.134358,0.480865,1.19673,1.7189,1.97452,2.14532,2.29743,2.44584,0.0115341,0.00470896,0.00115424
137,0.0378636,0.133444,0.480342,1.19605,1.7179,1.97337,2.14404,2.29598,2.44421,0.0114425,0.00468103,0.00115353
138,0.0375593,0.132601,0.47988,1.1954,1.71699,1.97233,2.14287,2.29467,2.44272,0.0113589,0.00465394,0.0011526
139,0.0372816,0.131821,0.47947,1.19478,1.71615,1.97138,2.14181,2.29347,2.44136,0.0112825,0.00462771,0.00115149
140,0.0370272,0.131097,0.479103,1.19419,1.71539,1.97053,2.14085,2.29239,2.44014,0.0112128,0.00460235,0.0011502
141,0.0367936,0.130421,0.478775,1.19364,1.7147,1.96976,2.14,2.29142,2.43904,0.011149,0.00457785,0.00114878
142,0.0365781,0.129789,0.478478,1.19313,1.71408,1.96907,2.13923,2.29055,2.43805,0.0110906,0.00455421,0.00114723
143,0.0363787,0.129196,0.478208,1.19265,1.71352,1.96845,2.13854,2.28978,2.43717,0.0110371,0.00453143,0.00114557
144,0.0361936,0.128637,0.477961,1.19221,1.71301,1.9679,2.13793,2.28909,2.43639,0.0109879,0.00450949,0.00114383
145,0.036021,0.128109,0.477733,1.1918,1.71256,1.96742,2.13739,2.28848,2.43569,0.0109428,0.00448836,0.00114201
146,0.0358596,0.127609,0.477522,1.19143,1.71216,1.96698,2.13691,2.28794,2.43507,0.0109012,0.00446804,0.00114014
147,0.0357081,0.127134,0.477323,1.19109,1.7118,1.9666,2.13649,2.28745,2.4345,0.0108628,0.00444851,0.00113821
148,0.0355654,0.126681,0.477135,1.19077,1.71148,1.96627,2.13611,2.28701,2.43399,0.0108274,0.00442972,0.00113624
149,0.0354306,0.12625,0.476956,1.19048,1.7112,1.96597,2.13578,2.28662,2.43354,0.0107946,0.00441168,0.00113424
150,0.0353027,0.125837,0.476784,1.19022,1.71095,1.96571,2.13548,2.28629,2.43315,0.0107642,0.00439434,0.00113221
151,0.0351811,0.125442,0.476617,1.18999,1.71073,1.96548,2.13523,2.286,2.43284,0.010736,0.00437769,0.00113018
152,0.0350651,0.125063,0.476453,1.18977,1.71054,1.96529,2.13502,2.28578,2.43261,0.0107098,0.00436169,0.00112813
153,0.0349541,0.124698,0.476293,1.18957,1.71037,1.96512,2.13486,2.28562,2.43246,0.0106853,0.00434634,0.00112607
154,0.0348476,0.124347,0.476135,1.1894,1.71023,1.96499,2.13474,2.28551,2.43238,0.0106624,0.00433159,0.00112402
155,0.0347451,0.124009,0.475977,1.18924,1.7101,1.96489,2.13466,2.28546,2.43235,0.010641,0.00431742,0.00112197
156,0.0346463,0.123683,0.475821,1.18909,1.70999,1.96482,2.13462,2.28544,2.43237,0.0106209,0.00430382,0.00111992
157,0.0345508,0.123367,0.475665,1.18896,1.7099,1.96477,2.1346,2.28545,2.43241,0.010602,0.00429076,0.00111789
158,0.0344583,0.123063,0.475508,1.18884,1.70983,1.96475,2.13461,2.28548,2.43245,0.0105841,0.00427821,0.00111587
159,0.0343685,0.122768,0.475352,1.18874,1.70977,1.96474,2.13462,2.28551,2.4325,0.0105673,0.00426615,0.00111387
160,0.0342813,0.122482,0.475195,1.18864,1.70972,1.96474,2.13464,2.28554,2.43253,0.0105513,0.00425456,0.00111189
161,0.0341963,0.122205,0.475039,1.18856,1.70969,1.96475,2.13466,2.28557,2.43256,0.0105361,0.00424343,0.00110993
162,0.0341134,0.121936,0.474882,1.18849,1.70967,1.96476,2.13468,2.28558,2.43258,0.0105217,0.00423272,0.00110799
163,0.0340324,0.121675,0.474726,1.18842,1.70966,1.96477,2.13469,2.2856,2.43259,0.0105079,0.00422243,0.00110607
164,0.0339532,0.121422,0.474571,1.18836,1.70965,1.96478,2.1347,2.28561,2.4326,0.0104948,0.00421252,0.00110417
165,0.0338756,0.121175,0.474416,1.18831,1.70965,1.96479,2.13471,2.28561,2.4326,0.0104822,0.00420299,0.0011023
166,0.0337996,0.120936,0.474263,1.18826,1.70966,1.9648,2.13471,2.28561,2.4326,0.0104701,0.00419382,0.00110046
167,0.033725,0.120703,0.474111,1.18822,1.70966,1.9648,2.13472,2.28562,2.4326,0.0104584,0.00418499,0.00109864
168,0.0336518,0.120477,0.473962,1.18818,1.70966,1.96481,2.13472,2.28562,2.4326,0.0104472,0.00417648,0.00109685
169,0.0335797,0.120256,0.473815,1.18815,1.70967,1.96481,2.13472,2.28562,2.4326,0.0104363,0.00416828,0.00109508
170,0.0335089,0.120042,0.473671,1.18812,1.70967,1.96481,2.13472,2.28562,2.4326,0.0104258,0.00416038,0.00109334
171,0.0334392,0.119833,0.473529,1.1881,1.70967,1.96481,2.13472,2.28562,2.4326,0.0104157,0.00415276,0.00109163
172,0.0333705,0.119629,0.473391,1.18808,1.70968,1.96481,2.13472,2.28562,2.4326,0.0104058,0.00414541,0.00108994
173,0.0333028,0.119431,0.473257,1.18806,1.70968,1.96481,2.13472,2.28562,2.4326,0.0103961,0.00413831,0.00108829
174,0.0332361,0.119237,0.473127,1.18805,1.70968,1.96481,2.13472,2.28562,2.4326,0.0103868,0.00413145,0.00108666
175,0.0331703,0.119049,0.473,1.18803,1.70968,1.96481,2.13472,2.28562,2.4326,0.0103776,0.00412483,0.00108505
176,0.0331054,0.118865,0.472878,1.18802,1.70968,1.96481,2.13472,2.28562,2.4326,0.0103687,0.00411842,0.00108347
177,0.0330412,0.118685,0.47276,1.18801,1.70968,1.96481,2.13472,2.28562,2.4326,0.0103599,0.00411223,0.00108192
178,0.0329779,0.11851,0.472647,1.18801,1.70968,1.96481,2.13472,2.28562,2.4326,0.0103514,0.00410624,0.0010804
179,0.0329154,0.11834,0.472538,1.188,1.70968,1.96481,2.13472,2.28562,2.4326,0.010343,0.00410044,0.0010789
180,0.0328536,0.118173,0.472434,1.188,1.70968,1.96481,2.13472,2.28562,2.4326,0.0103347,0.00409482,0.00107742
181,0.0327925,0.118011,0.472334,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0103266,0.00408937,0.00107597
182,0.0327321,0.117852,0.472238,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0103186,0.00408409,0.00107455
183,0.0326723,0.117697,0.472147,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0103108,0.00407897,0.00107314
184,0.0326133,0.117546,0.47206,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.010303,0.004074,0.00107177
185,0.0325548,0.117398,0.471978,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0102954,0.00406917,0.00107041
186,0.032497,0.117253,0.4719,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0102878,0.00406448,0.00106908
187,0.0324398,0.117112,0.471825,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0102804,0.00405991,0.00106777
188,0.0323832,0.116975,0.471755,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.010273,0.00405548,0.00106649
189,0.0323271,0.11684,0.471689,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0102657,0.00405116,0.00106522
190,0.0322716,0.116708,0.471626,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0102585,0.00404695,0.00106398
191,0.0322167,0.11658,0.471567,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0102514,0.00404285,0.00106276
192,0.0321623,0.116454,0.471511,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0102444,0.00403885,0.00106156
193,0.0321084,0.116331,0.471458,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0102374,0.00403495,0.00106038
194,0.032055,0.116211,0.471408,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0102304,0.00403115,0.00105922
195,0.0320022,0.116093,0.471362,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0102236,0.00402743,0.00105808
196,0.0319498,0.115978,0.471318,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0102168,0.0040238,0.00105695
197,0.031898,0.115866,0.471277,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.01021,0.00402025,0.00105585
198,0.0318466,0.115756,0.471238,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0102033,0.00401678,0.00105476
199,0.0317957,0.115648,0.471202,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0101966,0.00401338,0.00105369
200,0.0317452,0.115543,0.471168,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.01019,0.00401005,0.00105264
201,0.0316952,0.11544,0.471137,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0101834,0.00400679,0.00105161
202,0.0316457,0.115339,0.471107,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0101769,0.0040036,0.00105059
203,0.0315966,0.11524,0.471079,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0101704,0.00400047,0.00104959
204,0.0315479,0.115143,0.471053,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.010164,0.00399739,0.00104861
205,0.0314996,0.115049,0.471029,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0101576,0.00399438,0.00104764
206,0.0314518,0.114956,0.471006,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0101512,0.00399141,0.00104668
207,0.0314044,0.114865,0.470985,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0101449,0.0039885,0.00104575
208,0.0313574,0.114776,0.470966,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0101386,0.00398564,0.00104482
209,0.0313108,0.114688,0.470947,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0101324,0.00398283,0.00104391
210,0.0312646,0.114603,0.47093,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0101261,0.00398006,0.00104302
211,0.0312188,0.114519,0.470914,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0101199,0.00397734,0.00104214
212,0.0311734,0.114437,0.470899,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0101138,0.00397465,0.00104127
213,0.0311283,0.114356,0.470886,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0101077,0.00397201,0.00104041
214,0.0310837,0.114277,0.470873,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0101016,0.00396941,0.00103957
215,0.0310394,0.114199,0.470861,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0100955,0.00396684,0.00103874
216,0.0309954,0.114123,0.47085,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0100895,0.00396431,0.00103792
217,0.0309519,0.114048,0.47084,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0100834,0.00396181,0.00103712
218,0.0309087,0.113975,0.47083,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0100775,0.00395935,0.00103632
219,0.0308658,0.113903,0.470821,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0100715,0.00395691,0.00103554
220,0.0308233,0.113832,0.470813,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0100656,0.00395451,0.00103477
221,0.0307811,0.113762,0.470805,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0100597,0.00395213,0.00103401
222,0.0307393,0.113694,0.470798,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0100538,0.00394978,0.00103326
223,0.0306978,0.113627,0.470792,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.010048,0.00394746,0.00103253
224,0.0306566,0.113561,0.470786,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0100421,0.00394517,0.0010318
225,0.0306158,0.113496,0.47078,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0100363,0.0039429,0.00103108
226,0.0305753,0.113432,0.470775,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0100305,0.00394065,0.00103038
227,0.030535,0.113369,0.470771,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0100248,0.00393842,0.00102968
228,0.0304952,0.113308,0.470766,1.188,1.70968,1.96481,2.13472,2.28562,2.43261,0.0100191,0.00393622,0.00102899
229,0.0304556,0.113247,0.470762,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0100133,0.00393404,0.00102831
230,0.0304163,0.113187,0.470758,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0100077,0.00393188,0.00102764
231,0.0303773,0.113128,0.470755,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.010002,0.00392974,0.00102698
232,0.0303386,0.11307,0.470752,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00999636,0.00392762,0.00102633
233,0.0303003,0.113013,0.470749,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00999073,0.00392551,0.00102569
234,0.0302622,0.112956,0.470746,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00998513,0.00392343,0.00102505
235,0.0302244,0.112901,0.470744,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00997955,0.00392136,0.00102443
236,0.0301868,0.112846,0.470742,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00997399,0.00391931,0.00102381
237,0.0301496,0.112792,0.470739,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00996846,0.00391727,0.0010232
238,0.0301126,0.112738,0.470738,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00996294,0.00391525,0.0010226
239,0.030076,0.112686,0.470736,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00995744,0.00391324,0.001022
240,0.0300396,0.112634,0.470734,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00995196,0.00391125,0.00102142
241,0.0300034,0.112582,0.470733,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0099465,0.00390927,0.00102084
242,0.0299675,0.112532,0.470731,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00994105,0.00390731,0.00102026
243,0.0299319,0.112481,0.47073,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00993563,0.00390536,0.0010197
244,0.0298966,0.112432,0.470729,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00993022,0.00390342,0.00101914
245,0.0298615,0.112383,0.470728,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00992484,0.00390149,0.00101859
246,0.0298266,0.112334,0.470727,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00991947,0.00389958,0.00101804
247,0.029792,0.112286,0.470726,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00991412,0.00389768,0.00101751
248,0.0297577,0.112239,0.470726,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00990878,0.00389579,0.00101697
249,0.0297236,0.112192,0.470725,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00990347,0.00389391,0.00101645
250,0.0296897,0.112145,0.470724,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00989817,0.00389204,0.00101593
251,0.0296561,0.112099,0.470724,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00989288,0.00389018,0.00101541
252,0.0296227,0.112054,0.470723,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00988762,0.00388833,0.00101491
253,0.0295896,0.112008,0.470723,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00988237,0.00388649,0.0010144
254,0.0295567,0.111963,0.470722,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00987714,0.00388466,0.00101391
255,0.029524,0.111919,0.470722,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00987192,0.00388283,0.00101342
256,0.0294916,0.111875,0.470722,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00986672,0.00388102,0.00101293
257,0.0294593,0.111831,0.470721,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00986153,0.00387922,0.00101245
258,0.0294273,0.111787,0.470721,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00985636,0.00387742,0.00101197
259,0.0293955,0.111744,0.470721,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00985121,0.00387564,0.0010115
260,0.029364,0.111701,0.47072,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00984607,0.00387386,0.00101104
261,0.0293326,0.111659,0.47072,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00984094,0.00387209,0.00101058
262,0.0293015,0.111616,0.47072,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00983584,0.00387032,0.00101013
263,0.0292706,0.111574,0.47072,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00983074,0.00386857,0.00100968
